Count,Asset Material,Asset Diameter,Asset Install Year,BR,LoF Phys,LoF,CoF,Risk,Max CoF Factors,Replace Cost,Asset ID
1,CP,12,1990,1.7,1,1,1,1,"",$5627,45578
1,CP,12,1990,1.7,1,1,1,1,"",$11740,45594
1,CP,12,1990,1.7,1,1,1,1,"",$16494,45626
1,CP,12,1990,1.7,1,1,1,1,"",$11144,45640
1,CP,12,1990,1.7,1,1,1,1,"",$8476,45645
1,CP,12,1990,1.7,1,1,1,1,"",$15728,45649
1,CP,12,1990,1.7,1,1,1,1,"",$65540,45657
1,CP,12,1990,1.7,1,1,1,1,"",$11341,45666
1,CP,12,1990,1.7,1,1,1,1,"",$32515,45674
1,CP,12,1990,1.7,1,1,1,1,"",$11915,45681
1,CP,12,1990,1.7,1,1,1,1,"",$45653,45684
1,CP,12,1990,1.7,1,1,1,1,"",$5201,45686
1,CP,12,1990,1.7,1,1,1,1,"",$9655,45712
1,CP,12,1990,1.7,1,1,1,1,"",$99209,45730
1,CP,12,1990,1.7,1,1,1,1,"",$10621,45733
1,CP,12,1990,1.7,1,1,1,1,"",$36198,45737
1,CP,12,1990,1.7,1,1,1,1,"",$8728,45767
1,CP,12,1990,1.7,1,1,1,1,"",$7355,45773
1,CP,12,1990,1.7,1,1,1,1,"",$9252,45777
1,CP,12,1990,1.7,1,1,1,1,"",$9556,45781
1,CP,12,1990,1.7,1,1,1,1,"",$9950,45789
1,CP,12,1990,1.7,1,1,1,1,"",$106775,45849
1,CP,12,1990,1.7,1,1,1,1,"",$8566,45859
1,CP,12,1990,1.7,1,1,1,1,"",$10590,45866
1,CP,12,1990,1.7,1,1,1,1,"",$7861,45880
1,CP,12,1990,1.7,1,1,1,1,"",$9673,45882
1,CP,12,1990,1.7,1,1,1,1,"",$5755,45890
1,CP,12,1990,1.7,1,1,1,1,"",$7766,45891
1,CP,12,1990,1.7,1,1,1,1,"",$10976,45909
1,CP,12,1990,1.7,1,1,1,1,"",$8128,45919
1,CP,12,1990,1.7,1,1,1,1,"",$15416,45926
